id,date,amount,merchant,description,category
176,2023-10-27,23.76,Local Taxi,Local Taxi - Grocery shopping,Transport
177,2026-01-01,9.15,Local High School,Local High School - Grocery shopping,Education
178,2025-09-25,20.9,Uber Eats,Uber Eats - Taxi ride,Transport
179,2025-07-27,43.43,Lyft,Lyft - Hotel stay,Transport
180,2026-01-19,102.51,Hilton Hotels,Hilton Hotels - Lunch with friends,Travel
181,2024-03-12,35.62,Starbucks Coffee,Starbucks Coffee - Electric bill payment,Bills
182,2026-04-02,36.24,Delta Airlines,Delta Airlines - Prescription purchase,Travel
183,2025-05-01,2.03,Aguilar Group,Taxi ride,Shopping
184,2025-12-17,18.86,Gas Station,Electric bill payment,Bills
185,2025-10-10,13.17,Hall Inc,Hall Inc - Grocery shopping,Others
186,2025-05-10,9.13,CVS Pharmacy,Lunch with friends,Health
187,2024-06-05,104.61,Delta Airlines,Delta Airlines - Flight booking,Travel
188,2025-08-13,1.81,Spotify,Spotify - Course fee,Entertainment
189,2026-07-09,73.99,Electric Company,Electric Company - Lunch with friends,Bills
190,2025-11-30,12.24,Electric Company,Electric Company - Gas refill,Bills
191,2026-06-10,18.56,Joe's Pizza,Joe's Pizza - Electric bill payment,Food
192,2025-11-12,8.68,Local High School,Prescription purchase,Education
193,2024-07-03,36.1,City Hospital,City Hospital - Hotel stay,Travel
194,2026-02-07,71.7,Local Taxi,Course fee,Bills
195,2024-10-07,149.48,Electric Company,Prescription purchase,Bills
196,2025-10-10,24.67,Amazon Marketplace,Amazon Marketplace - Hotel stay,Travel
197,2024-03-10,18.62,Local High School,Local High School - Electric bill payment,Education
198,2025-09-27,15.02,"Johnson, Johnson and Lee","Johnson, Johnson and Lee - Lunch with friends",Travel
199,2023-12-30,1.48,CVS Pharmacy,Gas refill,Health
200,2024-09-15,56.13,Spotify,Spotify - Grocery shopping,Entertainment
201,2024-01-15,23.1,Corner Grocery,Corner Grocery - Taxi ride,Others
202,2026-03-11,32.06,Schultz Group,Flight booking,Travel
203,2025-06-27,6.57,Arellano Ltd,Arellano Ltd - Monthly subscription,Others
204,2025-02-09,16.66,Netflix Streaming,Netflix Streaming - Monthly subscription,Entertainment
205,2026-05-03,95.47,Hilton Hotels,Hilton Hotels - Monthly subscription,Travel
206,2026-07-11,1.19,State University,State University - Grocery shopping,Education
207,2023-12-04,21.24,Davis and Sons,Davis and Sons - Hotel stay,Travel
208,2025-10-17,38.54,Flores PLC,Gas refill,Bills
209,2024-03-22,56.72,"Brown, Brown and Kemp","Brown, Brown and Kemp - Monthly subscription",Others
210,2025-01-22,41.59,Amazon Marketplace,Amazon Marketplace - Monthly subscription,Shopping
211,2025-04-27,8.83,State University,Taxi ride,Education
212,2026-08-19,10.05,City Hospital,Online purchase,Shopping
213,2026-01-14,7.94,CVS Pharmacy,Prescription purchase,Health
214,2024-04-21,34.06,Lyft,Flight booking,Transport
215,2023-11-28,36.96,Valenzuela PLC,Valenzuela PLC - Course fee,Shopping
216,2026-08-18,23.47,Gas Station,Gas Station - Online purchase,Bills
217,2023-10-27,37.34,Lyft,Electric bill payment,Transport
218,2025-11-22,16.05,"Tapia, Patterson and Raymond","Tapia, Patterson and Raymond - Course fee",Bills
219,2026-08-14,43.42,City Hospital,City Hospital - Flight booking,Entertainment
220,2024-10-23,17.56,Corner Grocery,Corner Grocery - Gas refill,Bills
221,2025-10-28,20.1,Amazon Marketplace,Amazon Marketplace - Taxi ride,Shopping
222,2023-12-30,5.22,Local High School,Gas refill,Education
223,2024-10-23,12.16,Joe's Pizza,Lunch with friends,Food
224,2023-09-18,88.26,"Lang, Beck and Nolan",Taxi ride,Shopping
225,2024-11-17,18.9,Spotify,Monthly subscription,Entertainment
226,2024-09-21,15.9,Wood and Sons,Gas refill,Bills
227,2024-04-28,3.94,Waterworks,Flight booking,Bills
228,2025-03-30,47.93,Campbell-Vaughn,Campbell-Vaughn - Course fee,Shopping
229,2025-01-22,31.96,Waterworks,Gas refill,Bills
230,2023-09-02,71.68,Mall Outlet,Course fee,Travel
231,2026-02-14,2.17,"Walter, Simmons and Keller",Online purchase,Food
232,2026-07-31,9.43,Delta Airlines,Delta Airlines - Gas refill,Travel
233,2025-01-22,88.11,Conley-Taylor,Conley-Taylor - Prescription purchase,Health
234,2025-04-03,36.16,Joe's Pizza,Taxi ride,Food
235,2026-05-07,10.55,Lyft,Lyft - Taxi ride,Transport
236,2025-09-18,28.38,Joe's Pizza,Grocery shopping,Food
237,2026-03-29,29.12,Avila LLC,Avila LLC - Prescription purchase,Utilities
238,2024-11-27,43.93,Jensen Group,Taxi ride,Food
239,2024-05-13,34.82,Delta Airlines,Online purchase,Travel
240,2025-01-03,26.11,Corner Grocery,Corner Grocery - Hotel stay,Travel
241,2024-03-23,78.5,Amazon Marketplace,Flight booking,Shopping
242,2026-06-07,53.33,"Benson, Henderson and Russell","Benson, Henderson and Russell - Electric bill payment",Bills
243,2026-02-10,2.98,Mall Outlet,Mall Outlet - Course fee,Shopping
244,2025-03-17,47.34,Brown Inc,Brown Inc - Taxi ride,Health
245,2025-08-08,28.48,CVS Pharmacy,Taxi ride,Health
246,2025-08-22,1.56,Hilton Hotels,Hilton Hotels - Grocery shopping,Travel
247,2025-01-24,52.3,Montoya-Khan,Electric bill payment,Bills
248,2024-09-25,49.68,State University,State University - Course fee,Education
249,2025-05-10,17.61,Amazon Marketplace,Amazon Marketplace - Prescription purchase,Shopping
250,2024-11-10,11.17,Daugherty-Perez,Grocery shopping,Entertainment
251,2025-03-24,21.42,Walmart Supercenter,Walmart Supercenter - Online purchase,Shopping
252,2025-11-20,11.35,"Owen, Kelly and Taylor",Gas refill,Bills
253,2023-11-21,35.2,Sanchez and Sons,Sanchez and Sons - Lunch with friends,Education
254,2023-12-19,3.76,Starbucks Coffee,Gas refill,Bills
255,2026-06-20,21.21,Knight and Sons,Knight and Sons - Electric bill payment,Bills
256,2026-03-01,51.89,Spotify,Spotify - Gas refill,Entertainment
257,2026-05-26,41.88,Waterworks,Waterworks - Hotel stay,Travel
258,2025-08-20,20.87,"Garrett, Jones and Lee",Course fee,Shopping
259,2024-06-22,18.09,City Hospital,Electric bill payment,Bills
260,2024-06-25,7.34,Delta Airlines,Delta Airlines - Prescription purchase,Travel
261,2025-06-29,3.41,Walmart Supercenter,Grocery shopping,Shopping
262,2026-05-21,26.93,Mcguire Ltd,Lunch with friends,Travel
263,2026-06-16,24.07,Netflix Streaming,Hotel stay,Travel
264,2025-11-27,31.1,Lyft,Lyft - Flight booking,Transport
265,2023-11-17,5.77,Local High School,Local High School - Course fee,Education
266,2026-01-18,14.2,Chavez-Snyder,Lunch with friends,Others
267,2026-08-27,54.57,Walmart Supercenter,Walmart Supercenter - Electric bill payment,Shopping
268,2025-08-22,3.22,Amazon Marketplace,Amazon Marketplace - Electric bill payment,Shopping
269,2023-10-12,7.54,Electric Company,Electric Company - Monthly subscription,Bills
270,2025-04-11,13.5,Bailey PLC,Online purchase,Health
271,2024-01-06,3.54,Reyes-Hester,Prescription purchase,Utilities
272,2023-11-16,62.71,Lyft,Taxi ride,Transport
273,2026-04-23,24.51,Amazon Marketplace,Amazon Marketplace - Taxi ride,Shopping
274,2025-08-15,7.47,CVS Pharmacy,Electric bill payment,Health
275,2024-03-29,7.8,Jackson-Ortiz,Jackson-Ortiz - Gas refill,Bills
276,2026-01-10,50.39,Corner Grocery,Corner Grocery - Flight booking,Travel
277,2025-10-15,17.38,Starbucks Coffee,Starbucks Coffee - Flight booking,Food
278,2023-12-23,33.47,"Diaz, Campbell and Caldwell","Diaz, Campbell and Caldwell - Grocery shopping",Travel
279,2023-09-01,57.33,Mall Outlet,Gas refill,Bills
280,2025-06-09,9.46,Local High School,Local High School - Online purchase,Education
281,2026-01-29,52.9,Local High School,Taxi ride,Education
282,2024-06-11,37.81,Local Taxi,Local Taxi - Course fee,Food
283,2024-04-17,56.63,Gas Station,Prescription purchase,Bills
284,2026-08-06,6.81,May-Smith,May-Smith - Flight booking,Entertainment
285,2025-04-17,9.06,Marquez Ltd,Marquez Ltd - Online purchase,Shopping
286,2025-07-15,24.74,Local High School,Flight booking,Education
287,2025-12-31,22.61,Lyft,Lyft - Electric bill payment,Transport
288,2025-08-07,21.89,Local High School,Lunch with friends,Education
289,2026-04-23,10.71,Johnson LLC,Johnson LLC - Lunch with friends,Food
290,2024-02-08,27.96,CVS Pharmacy,CVS Pharmacy - Gas refill,Health
291,2025-04-06,13.68,Electric Company,Electric Company - Prescription purchase,Bills
292,2026-04-08,12.61,Amazon Marketplace,Online purchase,Shopping
293,2025-03-19,19.94,Walmart Supercenter,Online purchase,Shopping
294,2023-11-02,6.13,Corner Grocery,Corner Grocery - Online purchase,Travel
295,2025-07-04,27.83,Olson-Davies,Olson-Davies - Gas refill,Bills
296,2024-07-09,5.79,Local High School,Local High School - Gas refill,Education
297,2023-12-31,5.19,Parsons Group,Grocery shopping,Others
298,2026-01-17,14.71,Weaver-Howard,Weaver-Howard - Lunch with friends,Others
299,2024-09-04,26.15,Netflix Streaming,Prescription purchase,Entertainment
300,2024-09-02,19.48,Harvey Inc,Harvey Inc - Electric bill payment,Bills
301,2026-02-17,35.3,Starbucks Coffee,Starbucks Coffee - Flight booking,Shopping
302,2025-06-11,8.1,Zhang-Mccoy,Gas refill,Bills
303,2025-06-07,13.39,Cox and Sons,Cox and Sons - Lunch with friends,Health
304,2026-02-24,21.28,Local Taxi,Local Taxi - Taxi ride,Health
305,2025-06-05,49.2,Gas Station,Taxi ride,Bills
306,2026-05-18,6.94,Mall Outlet,Mall Outlet - Grocery shopping,Others
307,2024-07-13,63.34,Spotify,Spotify - Prescription purchase,Entertainment
308,2023-09-03,86.87,Gas Station,Course fee,Bills
309,2025-02-18,7.31,Local High School,Monthly subscription,Education
310,2024-09-28,14.01,Gas Station,Flight booking,Bills
311,2023-10-07,118.18,Walmart Supercenter,Walmart Supercenter - Taxi ride,Shopping
312,2025-02-19,14.64,Waterworks,Electric bill payment,Bills
313,2024-11-29,32.69,Mall Outlet,Taxi ride,Shopping
314,2025-12-31,4.1,Lyft,Lyft - Monthly subscription,Transport
315,2025-01-13,20.37,"Ferguson, Smith and Johnston","Ferguson, Smith and Johnston - Prescription purchase",Utilities
316,2024-07-08,44.27,Joe's Pizza,Lunch with friends,Food
317,2023-09-30,59.31,Lyft,Gas refill,Transport
318,2025-06-24,61.21,Uber Eats,Uber Eats - Online purchase,Transport
319,2024-06-30,29.57,Mall Outlet,Mall Outlet - Prescription purchase,Travel
320,2024-04-04,20.24,Waterworks,Hotel stay,Travel
321,2024-03-22,73.45,Delta Airlines,Delta Airlines - Electric bill payment,Travel
322,2023-09-28,19.02,Uber Eats,Uber Eats - Gas refill,Transport
323,2026-07-07,7.97,Local Taxi,Local Taxi - Gas refill,Bills
324,2025-09-03,26.85,"Freeman, Hall and Brooks",Lunch with friends,Entertainment
325,2023-11-24,10.98,Hubbard-Greene,Hubbard-Greene - Online purchase,Food
326,2026-05-14,13.66,Corner Grocery,Monthly subscription,Entertainment
327,2025-08-19,4.98,Moyer-Pierce,Moyer-Pierce - Course fee,Bills
328,2025-08-30,8.11,Gas Station,Taxi ride,Bills
329,2026-08-18,6.27,CVS Pharmacy,CVS Pharmacy - Course fee,Health
330,2024-05-28,121.88,Mall Outlet,Mall Outlet - Prescription purchase,Shopping
331,2024-05-20,87.62,Delta Airlines,Delta Airlines - Flight booking,Travel
332,2026-01-10,9.0,Moody and Sons,Moody and Sons - Hotel stay,Travel
333,2025-05-31,6.01,"Cordova, Humphrey and Jackson",Lunch with friends,Bills
334,2026-07-27,60.92,Electric Company,Electric Company - Flight booking,Bills
335,2025-08-13,118.14,"Jennings, May and Miranda",Monthly subscription,Utilities
336,2026-08-13,4.63,Glass Ltd,Hotel stay,Travel
337,2024-10-07,9.81,Lyft,Lyft - Flight booking,Transport
338,2024-06-30,1.06,City Hospital,City Hospital - Electric bill payment,Bills
339,2023-10-22,37.56,Electric Company,Electric Company - Online purchase,Bills
340,2023-12-25,12.28,Hilton Hotels,Hilton Hotels - Prescription purchase,Travel
341,2024-01-16,3.77,Netflix Streaming,Netflix Streaming - Grocery shopping,Entertainment
342,2024-07-04,2.86,Amazon Marketplace,Lunch with friends,Shopping
343,2024-12-25,50.17,Richardson-Camacho,Richardson-Camacho - Taxi ride,Travel
344,2024-07-02,61.74,Brown-Ford,Brown-Ford - Hotel stay,Travel
345,2024-05-27,14.79,Corner Grocery,Flight booking,Utilities
346,2026-03-26,55.75,"Taylor, Bruce and Barnes",Electric bill payment,Bills
347,2023-10-23,64.96,Lyft,Lyft - Course fee,Transport
348,2023-09-18,14.3,Davis-Pollard,Davis-Pollard - Gas refill,Bills
349,2025-09-04,80.41,State University,State University - Monthly subscription,Education
350,2025-12-30,45.75,Joe's Pizza,Joe's Pizza - Online purchase,Food
351,2025-03-04,11.0,Walsh-Li,Walsh-Li - Electric bill payment,Bills
352,2024-01-07,28.92,Stewart-Schultz,Stewart-Schultz - Electric bill payment,Bills
353,2026-05-30,3.12,"Fields, Mason and Douglas","Fields, Mason and Douglas - Hotel stay",Travel
354,2026-06-22,27.81,"Rice, Holland and Garcia",Course fee,Shopping
355,2024-10-01,14.66,Spotify,Flight booking,Entertainment
356,2024-04-03,31.19,"Camacho, Beltran and Kim","Camacho, Beltran and Kim - Hotel stay",Travel
357,2025-10-25,37.12,James PLC,Hotel stay,Travel
358,2026-07-04,28.44,Local Taxi,Monthly subscription,Shopping
359,2024-04-22,16.78,King PLC,Taxi ride,Transport
360,2025-09-05,73.2,Mall Outlet,Monthly subscription,Others
361,2024-08-07,34.89,Uber Eats,Uber Eats - Online purchase,Transport
362,2023-12-10,82.06,Smith Group,Smith Group - Hotel stay,Travel
363,2024-04-16,10.78,Murray PLC,Murray PLC - Monthly subscription,Utilities
364,2026-08-14,11.85,Barnett-Miller,Taxi ride,Food
365,2023-12-05,92.61,Stephenson-Smith,Stephenson-Smith - Lunch with friends,Transport
366,2026-06-27,20.53,Joe's Pizza,Taxi ride,Food
367,2024-05-28,33.15,Gas Station,Gas Station - Flight booking,Bills
368,2025-01-17,14.76,Koch-Miller,Koch-Miller - Electric bill payment,Bills
369,2025-06-12,12.92,Craig PLC,Craig PLC - Electric bill payment,Bills
370,2024-09-10,3.86,Gas Station,Grocery shopping,Bills
371,2024-08-30,56.47,Estrada-Hanna,Gas refill,Bills
372,2025-11-21,24.14,"Allen, Bowman and Walsh","Allen, Bowman and Walsh - Taxi ride",Others
373,2025-01-12,24.94,Bell-Scott,Monthly subscription,Entertainment
